State,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population,YEAR
Alabama (AL),$548 ,$592 ,$726 ,$950 ,"$1,095 ","4,850,775",2021
Alaska (AK),$862 ,$965 ,"$1,215 ","$1,608 ","$1,838 ","727,165",2021
Arizona (AZ),$698 ,$768 ,$970 ,"$1,340 ","$1,494 ","6,809,935",2021
Arkansas (AR),$516 ,$554 ,$697 ,$920 ,"$1,065 ","2,977,950",2021
California (CA),"$1,061 ","$1,205 ","$1,526 ","$2,103 ","$2,437 ","38,982,855",2021
Colorado (CO),$814 ,$868 ,"$1,088 ","$1,463 ","$1,699 ","5,436,520",2021
Connecticut (CT),$910 ,"$1,079 ","$1,348 ","$1,701 ","$2,004 ","3,594,465",2021
Delaware (DE),$806 ,$893 ,"$1,097 ","$1,466 ","$1,696 ","943,730",2021
District of Columbia (DC),"$1,513 ","$1,548 ","$1,765 ","$2,263 ","$2,742 ","672,390",2021
Florida (FL),$771 ,$835 ,"$1,021 ","$1,358 ","$1,610 ","20,278,455",2021
Georgia (GA),$632 ,$658 ,$793 ,"$1,041 ","$1,229 ","10,201,630",2021
Guam (GU),$975 ,"$1,068 ","$1,408 ","$2,015 ","$2,438 ","159,358",2021
Hawaii (HI),"$1,260 ","$1,405 ","$1,798 ","$2,480 ","$2,861 ","1,421,660",2021
Idaho (ID),$593 ,$641 ,$821 ,"$1,146 ","$1,341 ","1,657,380",2021
Illinois (IL),$571 ,$638 ,$802 ,"$1,050 ","$1,181 ","12,743,375",2021
Indiana (IN),$565 ,$635 ,$801 ,"$1,048 ","$1,194 ","6,614,425",2021
Iowa (IA),$541 ,$593 ,$760 ,"$1,005 ","$1,115 ","3,118,085",2021
Kansas (KS),$563 ,$593 ,$757 ,$995 ,"$1,130 ","2,903,780",2021
Kentucky (KY),$527 ,$582 ,$733 ,$972 ,"$1,099 ","4,424,350",2021
Louisiana (LA),$634 ,$693 ,$844 ,"$1,104 ","$1,260 ","4,663,460",2021
Maine (ME),$665 ,$724 ,$909 ,"$1,171 ","$1,355 ","1,330,127",2021
Maryland (MD),$932 ,"$1,036 ","$1,256 ","$1,660 ","$1,958 ","5,996,070",2021
Massachusetts (MA),"$1,184 ","$1,315 ","$1,642 ","$2,058 ","$2,277 ","6,789,270",2021
Michigan (MI),$579 ,$647 ,$815 ,"$1,067 ","$1,182 ","9,925,560",2021
Minnesota (MN),$580 ,$663 ,$842 ,"$1,146 ","$1,304 ","5,490,735",2021
Mississippi (MS),$553 ,$590 ,$727 ,$941 ,"$1,073 ","2,986,195",2021
Missouri (MO),$512 ,$568 ,$728 ,$966 ,"$1,104 ","6,075,330",2021
Montana (MT),$588 ,$654 ,$831 ,"$1,108 ","$1,300 ","1,029,850",2021
Nebraska (NE),$507 ,$595 ,$759 ,$989 ,"$1,102 ","1,893,930",2021
Nevada (NV),$621 ,$721 ,$915 ,"$1,273 ","$1,468 ","2,887,720",2021
New Hampshire (NH),$788 ,$896 ,"$1,142 ","$1,492 ","$1,771 ","1,331,810",2021
New Jersey (NJ),"$1,084 ","$1,257 ","$1,552 ","$1,980 ","$2,272 ","8,960,150",2021
New Mexico (NM),$639 ,$683 ,$842 ,"$1,137 ","$1,351 ","2,084,830",2021
New York (NY),$846 ,$922 ,"$1,120 ","$1,433 ","$1,578 ","19,798,235",2021
North Carolina (NC),$657 ,$674 ,$825 ,"$1,090 ","$1,313 ","10,052,560",2021
North Dakota (ND),$606 ,$622 ,$781 ,"$1,074 ","$1,213 ","745,470",2021
Ohio (OH),$571 ,$633 ,$797 ,"$1,036 ","$1,151 ","11,609,765",2021
Oklahoma (OK),$569 ,$601 ,$762 ,"$1,005 ","$1,149 ","3,896,265",2021
Oregon (OR),$744 ,$843 ,"$1,053 ","$1,485 ","$1,755 ","4,025,115",2021
Pennsylvania (PA),$643 ,$706 ,$878 ,"$1,133 ","$1,258 ","12,790,485",2021
Puerto Rico (PR),$392 ,$420 ,$483 ,$643 ,$765 ,"3,468,975",2021
Rhode Island (RI),$868 ,$969 ,"$1,177 ","$1,498 ","$1,792 ","1,056,155",2021
South Carolina (SC),$653 ,$686 ,$824 ,"$1,086 ","$1,283 ","4,893,435",2021
South Dakota (SD),$523 ,$582 ,$748 ,$990 ,"$1,163 ","841,150",2021
Tennessee (TN),$588 ,$625 ,$774 ,"$1,022 ","$1,188 ","6,597,390",2021
Texas (TX),$634 ,$699 ,$865 ,"$1,147 ","$1,334 ","27,419,610",2021
Utah (UT),$623 ,$703 ,$872 ,"$1,182 ","$1,416 ","2,993,930",2021
Vermont (VT),$761 ,$845 ,"$1,046 ","$1,350 ","$1,479 ","624,618",2021
Virginia (VA),$781 ,$842 ,"$1,007 ","$1,335 ","$1,577 ","8,365,985",2021
Washington (WA),$752 ,$850 ,"$1,070 ","$1,498 ","$1,764 ","7,169,985",2021
West Virginia (WV),$567 ,$599 ,$732 ,$962 ,"$1,110 ","1,836,835",2021
Wisconsin (WI),$569 ,$637 ,$817 ,"$1,075 ","$1,198 ","5,763,215",2021
Wyoming (WY),$640 ,$677 ,$842 ,"$1,139 ","$1,413 ","583,200",2021
Alabama (AL),$586 ,$628 ,$774 ,"$1,005 ","$1,155 ","4,850,775",2022
Alaska (AK),$875 ,$975 ,"$1,252 ","$1,645 ","$1,908 ","727,165",2022
Arizona (AZ),$752 ,$825 ,"$1,040 ","$1,420 ","$1,592 ","6,809,935",2022
Arkansas (AR),$524 ,$555 ,$698 ,$920 ,"$1,062 ","2,977,950",2022
California (CA),"$1,080 ","$1,214 ","$1,533 ","$2,103 ","$2,426 ","38,982,855",2022
Colorado (CO),$898 ,$959 ,"$1,201 ","$1,595 ","$1,868 ","5,436,520",2022
Connecticut (CT),$927 ,"$1,092 ","$1,366 ","$1,716 ","$2,036 ","3,594,465",2022
Delaware (DE),$814 ,$887 ,"$1,088 ","$1,439 ","$1,666 ","943,730",2022
District of Columbia (DC),"$1,539 ","$1,567 ","$1,785 ","$2,260 ","$2,713 ","672,390",2022
Florida (FL),$817 ,$883 ,"$1,074 ","$1,418 ","$1,676 ","20,278,455",2022
Georgia (GA),$680 ,$707 ,$853 ,"$1,112 ","$1,311 ","10,201,630",2022
Guam (GU),"$1,016 ","$1,115 ","$1,467 ","$2,084 ","$2,511 ","159,358",2022
Hawaii (HI),"$1,310 ","$1,466 ","$1,888 ","$2,569 ","$2,945 ","1,421,660",2022
Idaho (ID),$638 ,$688 ,$877 ,"$1,224 ","$1,444 ","1,657,380",2022
Illinois (IL),$593 ,$661 ,$829 ,"$1,084 ","$1,213 ","12,743,375",2022
Indiana (IN),$580 ,$647 ,$814 ,"$1,059 ","$1,211 ","6,614,425",2022
Iowa (IA),$563 ,$618 ,$788 ,"$1,037 ","$1,155 ","3,118,085",2022
Kansas (KS),$580 ,$612 ,$779 ,"$1,018 ","$1,153 ","2,903,780",2022
Kentucky (KY),$536 ,$593 ,$747 ,$985 ,"$1,113 ","4,424,350",2022
Louisiana (LA),$616 ,$674 ,$823 ,"$1,071 ","$1,224 ","4,663,460",2022
Maine (ME),$704 ,$754 ,$959 ,"$1,230 ","$1,429 ","1,330,072",2022
Maryland (MD),$974 ,"$1,054 ","$1,276 ","$1,679 ","$1,970 ","5,996,070",2022
Massachusetts (MA),"$1,193 ","$1,325 ","$1,653 ","$2,058 ","$2,303 ","6,789,270",2022
Michigan (MI),$596 ,$664 ,$836 ,"$1,089 ","$1,211 ","9,925,560",2022
Minnesota (MN),$615 ,$698 ,$884 ,"$1,194 ","$1,363 ","5,490,735",2022
Mississippi (MS),$578 ,$614 ,$749 ,$971 ,"$1,090 ","2,986,195",2022
Missouri (MO),$541 ,$588 ,$749 ,$990 ,"$1,139 ","6,075,330",2022
Montana (MT),$582 ,$648 ,$819 ,"$1,099 ","$1,279 ","1,029,850",2022
Nebraska (NE),$527 ,$610 ,$779 ,"$1,007 ","$1,121 ","1,893,930",2022
Nevada (NV),$723 ,$833 ,"$1,068 ","$1,454 ","$1,712 ","2,887,720",2022
New Hampshire (NH),$837 ,$947 ,"$1,209 ","$1,575 ","$1,853 ","1,331,810",2022
New Jersey (NJ),"$1,089 ","$1,252 ","$1,545 ","$1,960 ","$2,240 ","8,960,150",2022
New Mexico (NM),$614 ,$661 ,$813 ,"$1,095 ","$1,311 ","2,084,830",2022
New York (NY),$864 ,$937 ,"$1,138 ","$1,447 ","$1,596 ","19,798,235",2022
North Carolina (NC),$677 ,$701 ,$856 ,"$1,124 ","$1,355 ","10,052,560",2022
North Dakota (ND),$623 ,$638 ,$798 ,"$1,084 ","$1,261 ","745,470",2022
Ohio (OH),$580 ,$643 ,$807 ,"$1,046 ","$1,158 ","11,609,765",2022
Oklahoma (OK),$585 ,$613 ,$776 ,"$1,022 ","$1,168 ","3,896,265",2022
Oregon (OR),$770 ,$871 ,"$1,087 ","$1,525 ","$1,801 ","4,025,115",2022
Pennsylvania (PA),$677 ,$741 ,$920 ,"$1,181 ","$1,322 ","12,790,485",2022
Puerto Rico (PR),$400 ,$423 ,$485 ,$646 ,$760 ,"3,468,975",2022
Rhode Island (RI),$941 ,"$1,050 ","$1,272 ","$1,604 ","$1,971 ","1,056,155",2022
South Carolina (SC),$696 ,$724 ,$867 ,"$1,130 ","$1,337 ","4,893,435",2022
South Dakota (SD),$560 ,$614 ,$786 ,"$1,039 ","$1,244 ","841,150",2022
Tennessee (TN),$619 ,$650 ,$798 ,"$1,048 ","$1,211 ","6,597,390",2022
Texas (TX),$663 ,$727 ,$897 ,"$1,185 ","$1,364 ","27,419,610",2022
Utah (UT),$658 ,$740 ,$920 ,"$1,240 ","$1,495 ","2,993,930",2022
Vermont (VT),$786 ,$870 ,"$1,077 ","$1,387 ","$1,531 ","624,618",2022
Virginia (VA),$804 ,$854 ,"$1,016 ","$1,342 ","$1,583 ","8,365,985",2022
Washington (WA),$795 ,$899 ,"$1,124 ","$1,563 ","$1,849 ","7,169,985",2022
West Virginia (WV),$585 ,$620 ,$761 ,"$1,003 ","$1,144 ","1,836,835",2022
Wisconsin (WI),$598 ,$667 ,$853 ,"$1,117 ","$1,243 ","5,763,215",2022
Wyoming (WY),$659 ,$681 ,$851 ,"$1,154 ","$1,426 ","583,200",2022
Alabama (AL),$637 ,$682 ,$839 ,"$1,085 ","$1,243 ","4,893,186",2023
Alaska (AK),$948 ,"$1,041 ","$1,341 ","$1,766 ","$2,024 ","716,025",2023
Arizona (AZ),$854 ,$944 ,"$1,180 ","$1,604 ","$1,802 ","7,174,064",2023
Arkansas (AR),$581 ,$611 ,$768 ,"$1,011 ","$1,167 ","3,011,873",2023
California (CA),"$1,195 ","$1,327 ","$1,668 ","$2,269 ","$2,619 ","39,346,023",2023
Colorado (CO),$953 ,"$1,020 ","$1,276 ","$1,673 ","$1,989 ","5,684,926",2023
Connecticut (CT),"$1,064 ","$1,249 ","$1,559 ","$1,944 ","$2,326 ","3,570,549",2023
Delaware (DE),$935 ,"$1,014 ","$1,253 ","$1,637 ","$1,910 ","967,679",2023
District of Columbia (DC),"$1,589 ","$1,615 ","$1,838 ","$2,299 ","$2,742 ","701,974",2023
Florida (FL),$928 ,"$1,000 ","$1,209 ","$1,585 ","$1,879 ","21,216,924",2023
Georgia (GA),$775 ,$807 ,$966 ,"$1,248 ","$1,463 ","10,516,579",2023
Guam (GU),"$1,093 ","$1,199 ","$1,578 ","$2,243 ","$2,688 ","159,358",2023
Hawaii (HI),"$1,359 ","$1,504 ","$1,951 ","$2,632 ","$2,996 ","1,420,074",2023
Idaho (ID),$699 ,$758 ,$961 ,"$1,342 ","$1,583 ","1,754,367",2023
Illinois (IL),$632 ,$705 ,$882 ,"$1,149 ","$1,282 ","12,607,166",2023
Indiana (IN),$653 ,$727 ,$912 ,"$1,177 ","$1,348 ","6,696,893",2023
Iowa (IA),$615 ,$670 ,$849 ,"$1,112 ","$1,230 ","3,150,011",2023
Kansas (KS),$615 ,$659 ,$836 ,"$1,082 ","$1,229 ","2,912,619",2023
Kentucky (KY),$598 ,$656 ,$823 ,"$1,079 ","$1,214 ","4,461,952",2023
Louisiana (LA),$674 ,$732 ,$892 ,"$1,156 ","$1,332 ","4,664,616",2023
Maine (ME),$765 ,$821 ,"$1,045 ","$1,339 ","$1,523 ","1,340,825",2023
Maryland (MD),"$1,072 ","$1,147 ","$1,383 ","$1,810 ","$2,112 ","6,037,624",2023
Massachusetts (MA),"$1,378 ","$1,524 ","$1,893 ","$2,333 ","$2,624 ","6,873,003",2023
Michigan (MI),$659 ,$736 ,$923 ,"$1,193 ","$1,333 ","9,973,907",2023
Minnesota (MN),$675 ,$765 ,$963 ,"$1,293 ","$1,479 ","5,600,166",2023
Mississippi (MS),$640 ,$672 ,$816 ,"$1,052 ","$1,178 ","2,981,835",2023
Missouri (MO),$603 ,$644 ,$818 ,"$1,078 ","$1,246 ","6,123,315",2023
Montana (MT),$643 ,$709 ,$892 ,"$1,196 ","$1,402 ","1,061,705",2023
Nebraska (NE),$588 ,$670 ,$855 ,"$1,100 ","$1,214 ","1,923,826",2023
Nevada (NV),$807 ,$932 ,"$1,191 ","$1,653 ","$1,945 ","3,030,281",2023
New Hampshire (NH),$948 ,"$1,061 ","$1,365 ","$1,775 ","$2,011 ","1,355,244",2023
New Jersey (NJ),"$1,194 ","$1,356 ","$1,661 ","$2,092 ","$2,388 ","8,885,418",2023
New Mexico (NM),$662 ,$735 ,$896 ,"$1,204 ","$1,447 ","2,097,021",2023
New York (NY),$979 ,"$1,058 ","$1,280 ","$1,615 ","$1,788 ","19,514,849",2023
North Carolina (NC),$752 ,$782 ,$947 ,"$1,234 ","$1,487 ","10,386,227",2023
North Dakota (ND),$685 ,$706 ,$879 ,"$1,190 ","$1,431 ","760,394",2023
Ohio (OH),$640 ,$706 ,$886 ,"$1,141 ","$1,265 ","11,675,275",2023
Oklahoma (OK),$633 ,$661 ,$838 ,"$1,095 ","$1,261 ","3,949,342",2023
Oregon (OR),$856 ,$960 ,"$1,198 ","$1,681 ","$1,977 ","4,176,346",2023
Pennsylvania (PA),$748 ,$822 ,"$1,018 ","$1,301 ","$1,465 ","12,794,885",2023
Puerto Rico (PR),$443 ,$457 ,$519 ,$708 ,$823 ,"3,255,642",2023
Rhode Island (RI),"$1,108 ","$1,199 ","$1,453 ","$1,798 ","$2,229 ","1,057,798",2023
South Carolina (SC),$772 ,$805 ,$960 ,"$1,243 ","$1,460 ","5,091,517",2023
South Dakota (SD),$601 ,$673 ,$861 ,"$1,143 ","$1,377 ","865,059",2023
Tennessee (TN),$703 ,$732 ,$894 ,"$1,164 ","$1,337 ","6,772,268",2023
Texas (TX),$733 ,$795 ,$978 ,"$1,284 ","$1,493 ","28,635,442",2023
Utah (UT),$719 ,$825 ,"$1,010 ","$1,358 ","$1,636 ","3,151,239",2023
Vermont (VT),$871 ,$948 ,"$1,169 ","$1,499 ","$1,646 ","624,340",2023
Virginia (VA),$901 ,$939 ,"$1,116 ","$1,468 ","$1,739 ","8,509,358",2023
Washington (WA),$905 ,"$1,016 ","$1,265 ","$1,744 ","$2,056 ","7,512,465",2023
West Virginia (WV),$621 ,$659 ,$810 ,"$1,070 ","$1,214 ","1,807,426",2023
Wisconsin (WI),$657 ,$729 ,$929 ,"$1,204 ","$1,343 ","5,806,975",2023
Wyoming (WY),$690 ,$713 ,$901 ,"$1,223 ","$1,502 ","581,348",2023
Alabama (AL),$735 ,$788 ,$969 ,"$1,251 ","$1,436 ","4,893,186",2024
Alaska (AK),"$1,039 ","$1,153 ","$1,454 ","$1,914 ","$2,205 ","716,025",2024
Arizona (AZ),$960 ,"$1,064 ","$1,324 ","$1,789 ","$2,032 ","7,174,064",2024
Arkansas (AR),$661 ,$696 ,$875 ,"$1,153 ","$1,317 ","3,011,873",2024
California (CA),"$1,350 ","$1,488 ","$1,864 ","$2,516 ","$2,915 ","39,346,023",2024
Colorado (CO),"$1,088 ","$1,164 ","$1,460 ","$1,897 ","$2,252 ","5,684,926",2024
Connecticut (CT),"$1,171 ","$1,358 ","$1,695 ","$2,104 ","$2,510 ","3,570,549",2024
Delaware (DE),"$1,107 ","$1,185 ","$1,468 ","$1,895 ","$2,204 ","967,679",2024
District of Columbia (DC),"$1,772 ","$1,803 ","$2,045 ","$2,544 ","$3,015 ","701,974",2024
Florida (FL),"$1,058 ","$1,131 ","$1,359 ","$1,773 ","$2,086 ","21,216,924",2024
Georgia (GA),$901 ,$933 ,"$1,113 ","$1,427 ","$1,666 ","10,516,579",2024
Guam (GU),"$1,206 ","$1,326 ","$1,742 ","$2,455 ","$2,956 ","159,358",2024
Hawaii (HI),"$1,505 ","$1,614 ","$2,095 ","$2,802 ","$3,218 ","1,420,074",2024
Idaho (ID),$761 ,$832 ,"$1,048 ","$1,455 ","$1,740 ","1,754,367",2024
Illinois (IL),$690 ,$768 ,$958 ,"$1,245 ","$1,390 ","12,607,166",2024
Indiana (IN),$724 ,$803 ,"$1,001 ","$1,286 ","$1,463 ","6,696,893",2024
Iowa (IA),$663 ,$719 ,$909 ,"$1,182 ","$1,308 ","3,150,011",2024
Kansas (KS),$670 ,$733 ,$928 ,"$1,198 ","$1,353 ","2,912,619",2024
Kentucky (KY),$687 ,$756 ,$946 ,"$1,236 ","$1,389 ","4,461,952",2024
Louisiana (LA),$768 ,$831 ,"$1,010 ","$1,302 ","$1,521 ","4,664,616",2024
Maine (ME),$830 ,$895 ,"$1,135 ","$1,466 ","$1,634 ","1,340,825",2024
Maryland (MD),"$1,269 ","$1,355 ","$1,622 ","$2,109 ","$2,435 ","6,037,624",2024
Massachusetts (MA),"$1,500 ","$1,636 ","$2,026 ","$2,489 ","$2,806 ","6,873,003",2024
Michigan (MI),$730 ,$811 ,"$1,015 ","$1,303 ","$1,452 ","9,973,907",2024
Minnesota (MN),$759 ,$844 ,"$1,065 ","$1,420 ","$1,628 ","5,600,166",2024
Mississippi (MS),$761 ,$794 ,$958 ,"$1,227 ","$1,367 ","2,981,835",2024
Missouri (MO),$664 ,$700 ,$884 ,"$1,161 ","$1,340 ","6,123,315",2024
Montana (MT),$693 ,$765 ,$960 ,"$1,283 ","$1,507 ","1,061,705",2024
Nebraska (NE),$620 ,$709 ,$902 ,"$1,154 ","$1,270 ","1,923,826",2024
Nevada (NV),$905 ,"$1,037 ","$1,310 ","$1,798 ","$2,161 ","3,030,281",2024
New Hampshire (NH),"$1,014 ","$1,122 ","$1,449 ","$1,875 ","$2,071 ","1,355,244",2024
New Jersey (NJ),"$1,386 ","$1,551 ","$1,889 ","$2,374 ","$2,695 ","8,885,418",2024
New Mexico (NM),$719 ,$811 ,$989 ,"$1,329 ","$1,585 ","2,097,021",2024
New York (NY),"$1,075 ","$1,160 ","$1,398 ","$1,758 ","$1,947 ","19,514,849",2024
North Carolina (NC),$866 ,$901 ,"$1,083 ","$1,408 ","$1,677 ","10,386,227",2024
North Dakota (ND),$722 ,$743 ,$911 ,"$1,224 ","$1,495 ","760,394",2024
Ohio (OH),$699 ,$763 ,$957 ,"$1,226 ","$1,364 ","11,675,275",2024
Oklahoma (OK),$700 ,$738 ,$933 ,"$1,215 ","$1,407 ","3,949,342",2024
Oregon (OR),$950 ,"$1,049 ","$1,307 ","$1,822 ","$2,143 ","4,176,346",2024
Pennsylvania (PA),$798 ,$877 ,"$1,084 ","$1,383 ","$1,562 ","12,794,885",2024
Puerto Rico (PR),$487 ,$502 ,$574 ,$757 ,$869 ,"3,255,642",2024
Rhode Island (RI),"$1,325 ","$1,419 ","$1,731 ","$2,121 ","$2,632 ","1,057,798",2024
South Carolina (SC),$872 ,$912 ,"$1,093 ","$1,397 ","$1,628 ","5,091,517",2024
South Dakota (SD),$663 ,$756 ,$964 ,"$1,281 ","$1,532 ","865,059",2024
Tennessee (TN),$820 ,$852 ,"$1,036 ","$1,344 ","$1,539 ","6,772,268",2024
Texas (TX),$838 ,$891 ,"$1,093 ","$1,431 ","$1,666 ","28,635,442",2024
Utah (UT),$803 ,$922 ,"$1,123 ","$1,504 ","$1,804 ","3,151,239",2024
Vermont (VT),"$1,009 ","$1,080 ","$1,331 ","$1,717 ","$1,863 ","624,340",2024
Virginia (VA),"$1,045 ","$1,072 ","$1,266 ","$1,659 ","$1,984 ","8,509,358",2024
Washington (WA),"$1,030 ","$1,142 ","$1,422 ","$1,950 ","$2,284 ","7,512,465",2024
West Virginia (WV),$695 ,$738 ,$909 ,"$1,201 ","$1,356 ","1,807,426",2024
Wisconsin (WI),$714 ,$792 ,"$1,004 ","$1,294 ","$1,445 ","5,806,975",2024
Wyoming (WY),$794 ,$818 ,"$1,036 ","$1,396 ","$1,703 ","581,348",2024
Alabama (AL),$486 ,$524 ,$657 ,$880 ,$989 ,"4,779,736",2015
Alaska (AK),$724 ,$826 ,"$1,053 ","$1,409 ","$1,622 ","710,231",2015
Arizona (AZ),$540 ,$620 ,$797 ,"$1,106 ","$1,290 ","6,392,017",2015
Arkansas (AR),$448 ,$476 ,$620 ,$834 ,$966 ,"2,915,918",2015
California (CA),$749 ,$862 ,"$1,116 ","$1,579 ","$1,845 ","37,253,956",2015
Colorado (CO),$591 ,$659 ,$851 ,"$1,174 ","$1,358 ","5,029,196",2015
Connecticut (CT),$790 ,$925 ,"$1,180 ","$1,487 ","$1,718 ","3,574,097",2015
Delaware (DE),$725 ,$840 ,"$1,042 ","$1,388 ","$1,617 ","897,934",2015
District of Columbia (DC),"$1,167 ","$1,230 ","$1,458 ","$1,951 ","$2,451 ","601,723",2015
Florida (FL),$609 ,$678 ,$842 ,"$1,138 ","$1,316 ","18,801,310",2015
Georgia (GA),$516 ,$550 ,$686 ,$918 ,"$1,067 ","9,687,653",2015
Guam (GU),$812 ,$871 ,"$1,064 ","$1,550 ","$1,853 ","159,358",2015
Hawaii (HI),$847 ,$943 ,"$1,218 ","$1,695 ","$1,939 ","1,360,301",2015
Idaho (ID),$483 ,$528 ,$674 ,$957 ,"$1,144 ","1,567,582",2015
Illinois (IL),$477 ,$559 ,$714 ,$946 ,"$1,084 ","12,716,708",2015
Indiana (IN),$458 ,$539 ,$695 ,$922 ,"$1,037 ","6,483,802",2015
Iowa (IA),$429 ,$494 ,$633 ,$850 ,$951 ,"3,046,355",2015
Kansas (KS),$438 ,$517 ,$669 ,$901 ,"$1,017 ","2,853,118",2015
Kentucky (KY),$442 ,$484 ,$620 ,$842 ,$939 ,"4,339,367",2015
Louisiana (LA),$522 ,$576 ,$719 ,$947 ,"$1,085 ","4,533,372",2015
Maine (ME),$558 ,$626 ,$768 ,"$1,006 ","$1,124 ","1,328,355",2015
Maryland (MD),$793 ,$891 ,"$1,101 ","$1,439 ","$1,680 ","5,486,467",2015
Massachusetts (MA),$812 ,$922 ,"$1,160 ","$1,459 ","$1,622 ","6,547,629",2015
Michigan (MI),$478 ,$542 ,$696 ,$935 ,"$1,066 ","9,883,640",2015
Minnesota (MN),$484 ,$562 ,$723 ,$985 ,"$1,136 ","5,303,925",2015
Mississippi (MS),$456 ,$529 ,$660 ,$886 ,$972 ,"2,967,297",2015
Missouri (MO),$436 ,$504 ,$655 ,$883 ,$994 ,"5,988,927",2015
Montana (MT),$494 ,$540 ,$685 ,$945 ,"$1,086 ","989,415",2015
Nebraska (NE),$416 ,$482 ,$626 ,$816 ,$915 ,"1,826,341",2015
Nevada (NV),$477 ,$621 ,$792 ,"$1,098 ","$1,303 ","2,700,551",2015
New Hampshire (NH),$729 ,$809 ,"$1,022 ","$1,342 ","$1,503 ","1,316,470",2015
New Jersey (NJ),$911 ,"$1,049 ","$1,276 ","$1,663 ","$1,932 ","8,791,894",2015
New Mexico (NM),$488 ,$555 ,$702 ,$953 ,"$1,084 ","2,059,179",2015
New York (NY),$684 ,$761 ,$940 ,"$1,227 ","$1,368 ","19,378,102",2015
North Carolina (NC),$528 ,$566 ,$707 ,$945 ,"$1,112 ","9,535,483",2015
North Dakota (ND),$496 ,$514 ,$646 ,$898 ,$965 ,"672,591",2015
Ohio (OH),$452 ,$531 ,$682 ,$910 ,$997 ,"11,536,504",2015
Oklahoma (OK),$449 ,$505 ,$650 ,$868 ,$994 ,"3,751,351",2015
Oregon (OR),$515 ,$601 ,$766 ,"$1,086 ","$1,280 ","3,831,074",2015
Pennsylvania (PA),$542 ,$616 ,$766 ,$990 ,"$1,084 ","12,702,379",2015
Puerto Rico (PR),$398 ,$426 ,$517 ,$695 ,$809 ,"3,725,789",2015
Rhode Island (RI),$698 ,$783 ,$965 ,"$1,224 ","$1,471 ","1,052,567",2015
South Carolina (SC),$520 ,$560 ,$694 ,$911 ,"$1,095 ","4,625,364",2015
South Dakota (SD),$477 ,$517 ,$665 ,$926 ,$994 ,"814,180",2015
Tennessee (TN),$448 ,$516 ,$653 ,$874 ,$986 ,"6,346,105",2015
Texas (TX),$495 ,$561 ,$716 ,$968 ,"$1,097 ","25,145,561",2015
Utah (UT),$514 ,$577 ,$715 ,$984 ,"$1,140 ","2,763,885",2015
Vermont (VT),$691 ,$763 ,$965 ,"$1,215 ","$1,464 ","625,741",2015
