State,0 BR,1 BR,2 BR,3 BR,4 BR,Est. Population,YEAR
Virginia (VA),$688 ,$737 ,$895 ,"$1,194 ","$1,441 ","8,001,024",2015
Washington (WA),$543 ,$641 ,$825 ,"$1,141 ","$1,364 ","6,724,540",2015
West Virginia (WV),$490 ,$531 ,$666 ,$879 ,$980 ,"1,852,994",2015
Wisconsin (WI),$464 ,$546 ,$710 ,$950 ,"$1,055 ","5,686,986",2015
Wyoming (WY),$538 ,$580 ,$734 ,"$1,022 ","$1,156 ","563,626",2015
Alabama (AL),$483 ,$518 ,$646 ,$867 ,$993 ,"4,779,736",2016
Alaska (AK),$758 ,$862 ,"$1,081 ","$1,421 ","$1,663 ","710,231",2016
Arizona (AZ),$580 ,$652 ,$822 ,"$1,138 ","$1,323 ","6,392,017",2016
Arkansas (AR),$467 ,$501 ,$645 ,$861 ,$992 ,"2,915,918",2016
California (CA),$799 ,$919 ,"$1,182 ","$1,657 ","$1,930 ","37,253,956",2016
Colorado (CO),$627 ,$694 ,$892 ,"$1,228 ","$1,428 ","5,029,196",2016
Connecticut (CT),$788 ,$967 ,"$1,224 ","$1,554 ","$1,780 ","3,574,097",2016
Delaware (DE),$739 ,$861 ,"$1,058 ","$1,425 ","$1,628 ","897,934",2016
District of Columbia (DC),"$1,307 ","$1,402 ","$1,623 ","$2,144 ","$2,726 ","601,723",2016
Florida (FL),$617 ,$689 ,$848 ,"$1,141 ","$1,337 ","18,801,310",2016
Georgia (GA),$557 ,$591 ,$731 ,$979 ,"$1,165 ","9,687,653",2016
Guam (GU),$657 ,$708 ,$948 ,"$1,382 ","$1,655 ","159,358",2016
Hawaii (HI),$915 ,"$1,070 ","$1,356 ","$1,901 ","$2,186 ","1,360,301",2016
Idaho (ID),$500 ,$537 ,$692 ,$951 ,"$1,170 ","1,567,582",2016
Illinois (IL),$485 ,$562 ,$722 ,$943 ,"$1,079 ","12,716,708",2016
Indiana (IN),$487 ,$556 ,$714 ,$939 ,"$1,068 ","6,483,802",2016
Iowa (IA),$455 ,$511 ,$659 ,$876 ,$967 ,"3,046,355",2016
Kansas (KS),$487 ,$537 ,$697 ,$923 ,"$1,048 ","2,853,118",2016
Kentucky (KY),$475 ,$529 ,$674 ,$903 ,"$1,021 ","4,339,367",2016
Louisiana (LA),$517 ,$577 ,$715 ,$934 ,"$1,094 ","4,533,372",2016
Maine (ME),$565 ,$625 ,$767 ,$999 ,"$1,117 ","1,328,355",2016
Maryland (MD),$827 ,$949 ,"$1,165 ","$1,521 ","$1,840 ","5,773,552",2016
Massachusetts (MA),$829 ,$974 ,"$1,218 ","$1,528 ","$1,711 ","6,547,629",2016
Michigan (MI),$492 ,$553 ,$713 ,$953 ,"$1,070 ","9,883,640",2016
Minnesota (MN),$483 ,$576 ,$748 ,"$1,001 ","$1,148 ","5,303,925",2016
Mississippi (MS),$477 ,$546 ,$676 ,$888 ,$985 ,"2,967,297",2016
Missouri (MO),$459 ,$521 ,$679 ,$907 ,"$1,034 ","5,988,927",2016
Montana (MT),$494 ,$561 ,$694 ,$931 ,"$1,128 ","989,415",2016
Nebraska (NE),$426 ,$504 ,$657 ,$856 ,$953 ,"1,826,341",2016
Nevada (NV),$507 ,$620 ,$804 ,"$1,130 ","$1,343 ","2,700,551",2016
New Hampshire (NH),$683 ,$784 ,$992 ,"$1,286 ","$1,468 ","1,316,470",2016
New Jersey (NJ),$922 ,"$1,088 ","$1,330 ","$1,718 ","$1,991 ","8,791,894",2016
New Mexico (NM),$521 ,$589 ,$740 ,$997 ,"$1,185 ","2,059,179",2016
New York (NY),$688 ,$784 ,$953 ,"$1,227 ","$1,374 ","19,378,102",2016
North Carolina (NC),$555 ,$588 ,$730 ,$977 ,"$1,158 ","9,535,483",2016
North Dakota (ND),$537 ,$560 ,$704 ,$961 ,"$1,077 ","672,591",2016
Ohio (OH),$482 ,$548 ,$703 ,$933 ,"$1,037 ","11,536,504",2016
Oklahoma (OK),$475 ,$537 ,$687 ,$914 ,"$1,058 ","3,751,351",2016
Oregon (OR),$554 ,$645 ,$814 ,"$1,153 ","$1,360 ","3,831,074",2016
Pennsylvania (PA),$551 ,$628 ,$784 ,"$1,007 ","$1,116 ","12,702,379",2016
Puerto Rico (PR),$364 ,$388 ,$468 ,$633 ,$756 ,"3,725,789",2016
Rhode Island (RI),$663 ,$813 ,$998 ,"$1,266 ","$1,536 ","1,052,567",2016
South Carolina (SC),$510 ,$574 ,$712 ,$940 ,"$1,098 ","4,625,364",2016
South Dakota (SD),$452 ,$527 ,$673 ,$909 ,$993 ,"814,180",2016
Tennessee (TN),$473 ,$534 ,$673 ,$893 ,"$1,032 ","6,346,105",2016
Texas (TX),$541 ,$594 ,$751 ,"$1,006 ","$1,198 ","25,145,561",2016
Utah (UT),$512 ,$613 ,$766 ,"$1,061 ","$1,238 ","2,763,885",2016
Vermont (VT),$723 ,$786 ,$987 ,"$1,287 ","$1,487 ","625,741",2016
Virginia (VA),$714 ,$765 ,$921 ,"$1,227 ","$1,480 ","8,001,024",2016
Washington (WA),$599 ,$691 ,$881 ,"$1,234 ","$1,441 ","6,724,540",2016
West Virginia (WV),$469 ,$516 ,$639 ,$840 ,$962 ,"1,852,994",2016
Wisconsin (WI),$492 ,$562 ,$735 ,$972 ,"$1,080 ","5,686,986",2016
Wyoming (WY),$537 ,$617 ,$774 ,"$1,054 ","$1,220 ","563,626",2016
Alabama (AL),$524 ,$559 ,$692 ,$930 ,"$1,063 ","4,779,736",2017
Alaska (AK),$848 ,$957 ,"$1,201 ","$1,593 ","$1,870 ","710,231",2017
Arizona (AZ),$584 ,$632 ,$808 ,"$1,124 ","$1,298 ","6,392,017",2017
Arkansas (AR),$480 ,$509 ,$651 ,$871 ,$995 ,"2,915,918",2017
California (CA),$844 ,$971 ,"$1,242 ","$1,737 ","$2,050 ","37,253,956",2017
Colorado (CO),$649 ,$708 ,$905 ,"$1,253 ","$1,444 ","5,029,196",2017
Connecticut (CT),$806 ,$960 ,"$1,209 ","$1,544 ","$1,754 ","3,574,097",2017
Delaware (DE),$765 ,$863 ,"$1,054 ","$1,443 ","$1,663 ","897,934",2017
District of Columbia (DC),"$1,440 ","$1,513 ","$1,746 ","$2,300 ","$2,855 ","601,723",2017
Florida (FL),$643 ,$714 ,$876 ,"$1,184 ","$1,391 ","18,801,310",2017
Georgia (GA),$561 ,$590 ,$722 ,$971 ,"$1,155 ","9,687,653",2017
Guam (GU),$681 ,$734 ,$983 ,"$1,433 ","$1,716 ","159,358",2017
Hawaii (HI),$942 ,"$1,092 ","$1,393 ","$1,944 ","$2,349 ","1,360,301",2017
Idaho (ID),$518 ,$562 ,$724 ,$998 ,"$1,222 ","1,567,582",2017
Illinois (IL),$515 ,$591 ,$752 ,$983 ,"$1,126 ","12,716,708",2017
Indiana (IN),$505 ,$577 ,$733 ,$966 ,"$1,095 ","6,483,802",2017
Iowa (IA),$474 ,$529 ,$680 ,$905 ,"$1,003 ","3,046,355",2017
Kansas (KS),$511 ,$561 ,$722 ,$957 ,"$1,086 ","2,853,118",2017
Kentucky (KY),$477 ,$532 ,$671 ,$901 ,"$1,021 ","4,339,367",2017
Louisiana (LA),$540 ,$600 ,$738 ,$972 ,"$1,134 ","4,533,372",2017
Maine (ME),$603 ,$652 ,$793 ,"$1,037 ","$1,156 ","1,328,355",2017
Maryland (MD),$908 ,"$1,020 ","$1,249 ","$1,632 ","$1,976 ","5,773,552",2017
Massachusetts (MA),$891 ,"$1,013 ","$1,260 ","$1,590 ","$1,784 ","6,547,629",2017
Michigan (MI),$509 ,$581 ,$739 ,$987 ,"$1,101 ","9,883,640",2017
Minnesota (MN),$502 ,$598 ,$769 ,"$1,036 ","$1,188 ","5,303,925",2017
Mississippi (MS),$513 ,$586 ,$723 ,$949 ,"$1,057 ","2,967,297",2017
Missouri (MO),$471 ,$539 ,$696 ,$933 ,"$1,064 ","5,988,927",2017
Montana (MT),$511 ,$576 ,$714 ,$969 ,"$1,167 ","989,415",2017
Nebraska (NE),$436 ,$522 ,$674 ,$881 ,$981 ,"1,826,341",2017
Nevada (NV),$524 ,$634 ,$814 ,"$1,151 ","$1,358 ","2,700,551",2017
New Hampshire (NH),$734 ,$816 ,"$1,029 ","$1,347 ","$1,535 ","1,316,470",2017
New Jersey (NJ),$960 ,"$1,108 ","$1,363 ","$1,761 ","$2,038 ","8,791,894",2017
New Mexico (NM),$533 ,$593 ,$739 ,"$1,008 ","$1,189 ","2,059,179",2017
New York (NY),$730 ,$814 ,$994 ,"$1,285 ","$1,434 ","19,378,102",2017
North Carolina (NC),$576 ,$603 ,$742 ,$999 ,"$1,185 ","9,535,483",2017
North Dakota (ND),$598 ,$618 ,$781 ,"$1,085 ","$1,188 ","672,591",2017
Ohio (OH),$507 ,$575 ,$733 ,$973 ,"$1,087 ","11,536,504",2017
Oklahoma (OK),$493 ,$557 ,$710 ,$948 ,"$1,092 ","3,751,351",2017
Oregon (OR),$573 ,$659 ,$830 ,"$1,182 ","$1,403 ","3,831,074",2017
Pennsylvania (PA),$592 ,$665 ,$827 ,"$1,069 ","$1,183 ","12,702,379",2017
Puerto Rico (PR),$384 ,$405 ,$482 ,$647 ,$777 ,"3,725,789",2017
Rhode Island (RI),$743 ,$839 ,"$1,022 ","$1,306 ","$1,572 ","1,052,567",2017
South Carolina (SC),$557 ,$622 ,$763 ,"$1,014 ","$1,180 ","4,625,364",2017
South Dakota (SD),$457 ,$529 ,$678 ,$918 ,"$1,003 ","814,180",2017
Tennessee (TN),$497 ,$551 ,$692 ,$921 ,"$1,064 ","6,346,105",2017
Texas (TX),$577 ,$629 ,$791 ,"$1,059 ","$1,266 ","25,145,561",2017
Utah (UT),$520 ,$619 ,$772 ,"$1,081 ","$1,238 ","2,763,885",2017
Vermont (VT),$752 ,$822 ,"$1,026 ","$1,343 ","$1,507 ","625,741",2017
Virginia (VA),$732 ,$783 ,$941 ,"$1,258 ","$1,515 ","8,001,024",2017
Washington (WA),$610 ,$703 ,$894 ,"$1,254 ","$1,473 ","6,724,540",2017
West Virginia (WV),$545 ,$593 ,$726 ,$960 ,"$1,093 ","1,852,994",2017
Wisconsin (WI),$506 ,$576 ,$744 ,$985 ,"$1,101 ","5,686,986",2017
Wyoming (WY),$531 ,$603 ,$768 ,"$1,040 ","$1,227 ","563,626",2017
Alabama (AL),$519 ,$554 ,$682 ,$912 ,"$1,051 ","4,779,736",2018
Alaska (AK),$849 ,$954 ,"$1,193 ","$1,591 ","$1,869 ","702,772",2018
Arizona (AZ),$605 ,$654 ,$834 ,"$1,156 ","$1,321 ","6,392,017",2018
Arkansas (AR),$489 ,$521 ,$666 ,$887 ,"$1,015 ","2,915,918",2018
California (CA),$877 ,"$1,009 ","$1,287 ","$1,799 ","$2,095 ","37,253,956",2018
Colorado (CO),$710 ,$775 ,$982 ,"$1,354 ","$1,545 ","5,029,196",2018
Connecticut (CT),$833 ,$985 ,"$1,231 ","$1,572 ","$1,800 ","3,574,097",2018
Delaware (DE),$750 ,$849 ,"$1,033 ","$1,418 ","$1,634 ","897,934",2018
District of Columbia (DC),"$1,504 ","$1,561 ","$1,793 ","$2,353 ","$2,902 ","601,723",2018
Florida (FL),$665 ,$736 ,$903 ,"$1,218 ","$1,432 ","18,801,310",2018
Georgia (GA),$599 ,$625 ,$762 ,"$1,021 ","$1,213 ","9,687,653",2018
Guam (GU),$692 ,$751 ,$999 ,"$1,453 ","$1,760 ","159,358",2018
Hawaii (HI),"$1,053 ","$1,227 ","$1,567 ","$2,196 ","$2,650 ","1,360,301",2018
Idaho (ID),$533 ,$580 ,$748 ,"$1,032 ","$1,242 ","1,567,582",2018
Illinois (IL),$529 ,$604 ,$767 ,"$1,006 ","$1,140 ","12,716,708",2018
Indiana (IN),$529 ,$599 ,$760 ,"$1,002 ","$1,127 ","6,483,802",2018
Iowa (IA),$488 ,$542 ,$698 ,$927 ,"$1,026 ","3,046,355",2018
Kansas (KS),$522 ,$574 ,$737 ,$975 ,"$1,107 ","2,853,118",2018
Kentucky (KY),$484 ,$539 ,$680 ,$910 ,"$1,033 ","4,339,367",2018
Louisiana (LA),$579 ,$640 ,$783 ,"$1,029 ","$1,191 ","4,533,372",2018
Maine (ME),$633 ,$676 ,$825 ,"$1,083 ","$1,214 ","1,328,355",2018
Maryland (MD),$925 ,"$1,044 ","$1,273 ","$1,664 ","$2,005 ","5,773,552",2018
Massachusetts (MA),$973 ,"$1,086 ","$1,352 ","$1,707 ","$1,893 ","6,547,629",2018
Michigan (MI),$534 ,$600 ,$763 ,"$1,014 ","$1,131 ","9,883,640",2018
Minnesota (MN),$518 ,$613 ,$786 ,"$1,058 ","$1,207 ","5,303,925",2018
Mississippi (MS),$503 ,$567 ,$701 ,$924 ,"$1,033 ","2,967,297",2018
Missouri (MO),$469 ,$538 ,$694 ,$929 ,"$1,056 ","5,988,927",2018
Montana (MT),$534 ,$604 ,$758 ,"$1,024 ","$1,240 ","989,415",2018
Nebraska (NE),$447 ,$531 ,$682 ,$895 ,$993 ,"1,826,341",2018
Nevada (NV),$568 ,$685 ,$877 ,"$1,232 ","$1,432 ","2,700,551",2018
New Hampshire (NH),$758 ,$842 ,"$1,064 ","$1,392 ","$1,621 ","1,316,470",2018
New Jersey (NJ),$968 ,"$1,129 ","$1,394 ","$1,795 ","$2,079 ","8,791,894",2018
New Mexico (NM),$558 ,$610 ,$762 ,"$1,048 ","$1,224 ","2,059,179",2018
New York (NY),$753 ,$836 ,"$1,018 ","$1,308 ","$1,452 ","19,378,102",2018
North Carolina (NC),$603 ,$628 ,$773 ,"$1,038 ","$1,239 ","9,535,483",2018
North Dakota (ND),$592 ,$609 ,$764 ,"$1,063 ","$1,188 ","672,591",2018
Ohio (OH),$516 ,$583 ,$742 ,$980 ,"$1,094 ","11,536,504",2018
Oklahoma (OK),$515 ,$580 ,$736 ,$982 ,"$1,124 ","3,751,351",2018
Oregon (OR),$609 ,$699 ,$878 ,"$1,250 ","$1,475 ","3,831,074",2018
Pennsylvania (PA),$612 ,$683 ,$851 ,"$1,101 ","$1,213 ","12,702,379",2018
Puerto Rico (PR),$365 ,$384 ,$456 ,$611 ,$736 ,"3,725,789",2018
Rhode Island (RI),$762 ,$864 ,"$1,048 ","$1,342 ","$1,592 ","1,052,567",2018
South Carolina (SC),$567 ,$633 ,$771 ,"$1,024 ","$1,192 ","4,625,364",2018
South Dakota (SD),$465 ,$542 ,$693 ,$929 ,"$1,019 ","800,594",2018
Tennessee (TN),$509 ,$565 ,$707 ,$941 ,"$1,088 ","6,346,105",2018
Texas (TX),$585 ,$641 ,$803 ,"$1,077 ","$1,275 ","25,145,561",2018
Utah (UT),$550 ,$653 ,$819 ,"$1,139 ","$1,316 ","2,763,885",2018
Vermont (VT),$763 ,$837 ,"$1,038 ","$1,348 ","$1,521 ","625,741",2018
Virginia (VA),$752 ,$810 ,$973 ,"$1,300 ","$1,561 ","8,001,024",2018
Washington (WA),$628 ,$721 ,$922 ,"$1,294 ","$1,497 ","6,724,540",2018
West Virginia (WV),$528 ,$570 ,$693 ,$918 ,"$1,059 ","1,852,994",2018
Wisconsin (WI),$520 ,$587 ,$758 ,"$1,006 ","$1,124 ","5,686,986",2018
Wyoming (WY),$578 ,$638 ,$814 ,"$1,097 ","$1,329 ","563,626",2018
Alabama (AL),$530 ,$570 ,$698 ,$925 ,"$1,068 ","4,779,736",2019
Alaska (AK),$871 ,$983 ,"$1,232 ","$1,640 ","$1,888 ","702,772",2019
Arizona (AZ),$637 ,$688 ,$878 ,"$1,218 ","$1,377 ","6,392,017",2019
Arkansas (AR),$501 ,$539 ,$686 ,$908 ,"$1,051 ","2,915,918",2019
California (CA),$930 ,"$1,069 ","$1,361 ","$1,897 ","$2,199 ","37,253,956",2019
Colorado (CO),$744 ,$806 ,"$1,013 ","$1,386 ","$1,594 ","5,029,196",2019
Connecticut (CT),$836 ,$999 ,"$1,251 ","$1,600 ","$1,831 ","3,574,097",2019
Delaware (DE),$800 ,$893 ,"$1,096 ","$1,503 ","$1,742 ","897,934",2019
District of Columbia (DC),"$1,415 ","$1,454 ","$1,665 ","$2,176 ","$2,678 ","601,723",2019
Florida (FL),$705 ,$773 ,$947 ,"$1,275 ","$1,508 ","18,801,310",2019
Georgia (GA),$619 ,$645 ,$780 ,"$1,040 ","$1,231 ","9,687,653",2019
Guam (GU),$728 ,$795 ,"$1,051 ","$1,520 ","$1,846 ","159,358",2019
Hawaii (HI),"$1,122 ","$1,292 ","$1,659 ","$2,310 ","$2,772 ","1,360,301",2019
Idaho (ID),$526 ,$582 ,$751 ,"$1,035 ","$1,223 ","1,567,582",2019
Illinois (IL),$552 ,$622 ,$787 ,"$1,033 ","$1,169 ","12,716,708",2019
Indiana (IN),$533 ,$604 ,$764 ,"$1,006 ","$1,133 ","6,483,802",2019
Iowa (IA),$504 ,$556 ,$715 ,$951 ,"$1,053 ","3,046,355",2019
Kansas (KS),$513 ,$560 ,$718 ,$950 ,"$1,076 ","2,853,118",2019
Kentucky (KY),$492 ,$546 ,$689 ,$918 ,"$1,042 ","4,339,367",2019
Louisiana (LA),$583 ,$642 ,$780 ,"$1,025 ","$1,184 ","4,533,372",2019
Maine (ME),$680 ,$720 ,$887 ,"$1,162 ","$1,304 ","1,328,355",2019
Maryland (MD),$897 ,"$1,017 ","$1,237 ","$1,624 ","$1,944 ","5,773,552",2019
Massachusetts (MA),"$1,098 ","$1,221 ","$1,519 ","$1,916 ","$2,100 ","6,547,629",2019
Michigan (MI),$542 ,$608 ,$768 ,"$1,017 ","$1,130 ","9,883,640",2019
Minnesota (MN),$538 ,$629 ,$803 ,"$1,088 ","$1,234 ","5,303,925",2019
Mississippi (MS),$506 ,$559 ,$692 ,$905 ,"$1,020 ","2,967,297",2019
Missouri (MO),$479 ,$549 ,$706 ,$943 ,"$1,077 ","5,988,927",2019
Montana (MT),$521 ,$590 ,$749 ,"$1,005 ","$1,213 ","989,415",2019
Nebraska (NE),$488 ,$579 ,$738 ,$968 ,"$1,081 ","1,826,341",2019
Nevada (NV),$575 ,$696 ,$883 ,"$1,231 ","$1,422 ","2,700,551",2019
New Hampshire (NH),$771 ,$865 ,"$1,097 ","$1,440 ","$1,693 ","1,316,470",2019
New Jersey (NJ),$989 ,"$1,159 ","$1,432 ","$1,837 ","$2,125 ","8,791,894",2019
New Mexico (NM),$598 ,$651 ,$807 ,"$1,108 ","$1,299 ","2,059,179",2019
New York (NY),$777 ,$857 ,"$1,044 ","$1,340 ","$1,479 ","19,378,102",2019
North Carolina (NC),$617 ,$638 ,$784 ,"$1,051 ","$1,261 ","9,535,483",2019
North Dakota (ND),$605 ,$625 ,$779 ,"$1,067 ","$1,224 ","672,591",2019
Ohio (OH),$523 ,$589 ,$746 ,$980 ,"$1,092 ","11,536,504",2019
Oklahoma (OK),$521 ,$578 ,$733 ,$975 ,"$1,117 ","3,751,351",2019
Oregon (OR),$650 ,$749 ,$935 ,"$1,330 ","$1,564 ","3,831,074",2019
Pennsylvania (PA),$613 ,$683 ,$852 ,"$1,102 ","$1,215 ","12,702,379",2019
Puerto Rico (PR),$384 ,$403 ,$476 ,$640 ,$772 ,"3,725,789",2019
Rhode Island (RI),$802 ,$903 ,"$1,093 ","$1,403 ","$1,642 ","1,052,567",2019
South Carolina (SC),$606 ,$666 ,$806 ,"$1,071 ","$1,252 ","4,625,364",2019
South Dakota (SD),$493 ,$576 ,$735 ,$984 ,"$1,102 ","800,594",2019
Tennessee (TN),$530 ,$587 ,$729 ,$967 ,"$1,123 ","6,346,105",2019
Texas (TX),$601 ,$660 ,$822 ,"$1,098 ","$1,299 ","25,145,561",2019
Utah (UT),$553 ,$655 ,$815 ,"$1,119 ","$1,327 ","2,763,885",2019
Vermont (VT),$749 ,$829 ,"$1,024 ","$1,325 ","$1,466 ","625,741",2019
Virginia (VA),$740 ,$811 ,$975 ,"$1,301 ","$1,555 ","8,001,024",2019
Washington (WA),$689 ,$788 ,"$1,000 ","$1,403 ","$1,619 ","6,724,540",2019
West Virginia (WV),$530 ,$564 ,$688 ,$909 ,"$1,051 ","1,852,994",2019
Wisconsin (WI),$533 ,$601 ,$774 ,"$1,026 ","$1,147 ","5,686,986",2019
Wyoming (WY),$592 ,$651 ,$825 ,"$1,110 ","$1,375 ","563,626",2019
Alabama (AL),$534 ,$576 ,$701 ,$924 ,"$1,065 ","4,850,775",2020
Alaska (AK),$916 ,"$1,035 ","$1,292 ","$1,724 ","$1,953 ","727,165",2020
Arizona (AZ),$656 ,$727 ,$917 ,"$1,276 ","$1,429 ","6,809,935",2020
Arkansas (AR),$493 ,$533 ,$672 ,$889 ,"$1,032 ","2,977,950",2020
California (CA),$997 ,"$1,140 ","$1,446 ","$2,011 ","$2,328 ","38,982,855",2020
Colorado (CO),$745 ,$801 ,"$1,008 ","$1,367 ","$1,587 ","5,436,520",2020
Connecticut (CT),$870 ,"$1,033 ","$1,294 ","$1,644 ","$1,907 ","3,594,465",2020
Delaware (DE),$794 ,$879 ,"$1,073 ","$1,463 ","$1,698 ","943,730",2020
District of Columbia (DC),"$1,457 ","$1,500 ","$1,707 ","$2,215 ","$2,707 ","672,390",2020
Florida (FL),$743 ,$811 ,$992 ,"$1,328 ","$1,574 ","20,278,455",2020
Georgia (GA),$628 ,$655 ,$788 ,"$1,041 ","$1,231 ","10,201,630",2020
Guam (GU),$952 ,"$1,043 ","$1,374 ","$1,982 ","$2,412 ","159,358",2020
Hawaii (HI),"$1,236 ","$1,406 ","$1,798 ","$2,501 ","$2,926 ","1,421,660",2020
Idaho (ID),$564 ,$617 ,$793 ,"$1,096 ","$1,286 ","1,657,380",2020
Illinois (IL),$557 ,$625 ,$787 ,"$1,032 ","$1,162 ","12,743,375",2020
Indiana (IN),$549 ,$620 ,$782 ,"$1,027 ","$1,165 ","6,614,425",2020
Iowa (IA),$516 ,$570 ,$729 ,$970 ,"$1,077 ","3,118,085",2020
Kansas (KS),$545 ,$589 ,$752 ,$992 ,"$1,125 ","2,903,780",2020
Kentucky (KY),$498 ,$556 ,$699 ,$929 ,"$1,051 ","4,424,350",2020
Louisiana (LA),$617 ,$672 ,$820 ,"$1,073 ","$1,228 ","4,663,460",2020
Maine (ME),$640 ,$685 ,$849 ,"$1,108 ","$1,263 ","1,330,127",2020
Maryland (MD),$909 ,"$1,023 ","$1,243 ","$1,637 ","$1,947 ","5,996,070",2020
Massachusetts (MA),"$1,149 ","$1,273 ","$1,588 ","$1,995 ","$2,196 ","6,789,270",2020
Michigan (MI),$547 ,$614 ,$773 ,"$1,017 ","$1,127 ","9,925,560",2020
Minnesota (MN),$562 ,$646 ,$823 ,"$1,121 ","$1,272 ","5,490,735",2020
Mississippi (MS),$524 ,$569 ,$703 ,$916 ,"$1,043 ","2,986,195",2020
Missouri (MO),$484 ,$547 ,$700 ,$933 ,"$1,062 ","6,075,330",2020
Montana (MT),$561 ,$636 ,$809 ,"$1,081 ","$1,286 ","1,029,850",2020
Nebraska (NE),$480 ,$569 ,$724 ,$946 ,"$1,063 ","1,893,930",2020
Nevada (NV),$610 ,$710 ,$905 ,"$1,263 ","$1,454 ","2,887,720",2020
New Hampshire (NH),$757 ,$856 ,"$1,089 ","$1,426 ","$1,687 ","1,331,810",2020
New Jersey (NJ),"$1,013 ","$1,185 ","$1,467 ","$1,875 ","$2,159 ","8,960,150",2020
New Mexico (NM),$604 ,$650 ,$802 ,"$1,093 ","$1,296 ","2,084,830",2020
New York (NY),$806 ,$886 ,"$1,076 ","$1,378 ","$1,520 ","19,798,235",2020
North Carolina (NC),$633 ,$652 ,$799 ,"$1,063 ","$1,282 ","10,052,560",2020
North Dakota (ND),$596 ,$614 ,$766 ,"$1,053 ","$1,202 ","745,470",2020
Ohio (OH),$540 ,$604 ,$761 ,$992 ,"$1,107 ","11,609,765",2020
Oklahoma (OK),$531 ,$576 ,$728 ,$965 ,"$1,103 ","3,896,265",2020
Oregon (OR),$719 ,$820 ,"$1,022 ","$1,451 ","$1,704 ","4,025,115",2020
Pennsylvania (PA),$616 ,$684 ,$850 ,"$1,099 ","$1,217 ","12,790,485",2020
Puerto Rico (PR),$379 ,$402 ,$467 ,$624 ,$744 ,"3,468,975",2020
Rhode Island (RI),$812 ,$911 ,"$1,108 ","$1,415 ","$1,663 ","1,056,155",2020
South Carolina (SC),$610 ,$657 ,$788 ,"$1,044 ","$1,231 ","4,893,435",2020
South Dakota (SD),$513 ,$584 ,$749 ,$993 ,"$1,149 ","841,150",2020
Tennessee (TN),$565 ,$611 ,$757 ,"$1,002 ","$1,168 ","6,597,390",2020
Texas (TX),$608 ,$669 ,$829 ,"$1,106 ","$1,295 ","27,419,610",2020
Utah (UT),$592 ,$684 ,$850 ,"$1,164 ","$1,396 ","2,993,930",2020
Vermont (VT),$764 ,$851 ,"$1,050 ","$1,354 ","$1,494 ","624,618",2020
Virginia (VA),$760 ,$829 ,$992 ,"$1,323 ","$1,571 ","8,365,985",2020
Washington (WA),$745 ,$845 ,"$1,069 ","$1,502 ","$1,742 ","7,169,985",2020
West Virginia (WV),$560 ,$597 ,$726 ,$959 ,"$1,116 ","1,836,835",2020
Wisconsin (WI),$554 ,$624 ,$800 ,"$1,057 ","$1,180 ","5,763,215",2020
Wyoming (WY),$621 ,$679 ,$846 ,"$1,138 ","$1,423 ","583,200",2020
